title,price,area,bath,room,tipo,city
"Villa in Miami, Miami-Dade",29616900,530.0,7.0,6.0,Villa,Miami
"Villa in Miami, Miami-Dade",29154100,1367.0,7.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",27673200,303.0,4.0,4.0,Villa,Miami
"Apartment in Miami, Miami-Dade",25340800,880.0,6.0,6.0,Apartment,Miami
"Penthouse in Miami, Miami-Dade",25000000,1600.0,6.0,6.0,Penthouse,Miami
"Villa in Miami, Miami-Dade",24017400,773.0,6.0,6.0,Villa,Miami
"Detached House in Miami, Miami-Dade",23045600,912.0,10.0,6.0,Detached House,Miami
"Villa in Miami, Miami-Dade",23045600,912.0,6.0,6.0,Villa,Miami
"Duplex in Miami, Miami-Dade",23138200,870.0,9.0,6.0,Duplex,Miami
"Residential complexes in Miami, Miami-Dade",23138200,929.0,10.0,4.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",22675400,603.0,5.0,5.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",22212600,424.0,5.0,5.0,Villa,Miami
"Villa in Miami, Miami-Dade",21749900,574.0,6.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",21287100,713.0,7.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",20361600,329.0,4.0,4.0,Villa,Miami
"Villa in Miami, Miami-Dade",20269000,1294.0,10.0,6.0,Villa,Miami
"Villa in Miami, Miami-Dade",20269000,614.0,6.0,6.0,Villa,Miami
"Apartment in Miami, Miami-Dade",19389800,961.0,7.0,5.0,Apartment,Miami
"Residential complexes in Miami, Miami-Dade",18973300,612.0,5.0,4.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",18418000,554.0,6.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",18464300,621.0,5.0,6.0,Villa,Miami
"Apartment in Miami, Miami-Dade",18140000,929.0,7.0,7.0,Apartment,Miami
"Villa in Miami, Miami-Dade",18232900,1186.0,7.0,8.0,Villa,Miami
"Residential complexes in Miami, Miami-Dade",18047800,729.0,7.0,6.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",17492500,763.0,6.0,6.0,Villa,Miami
"Penthouse in Miami, Miami-Dade",17347100,469.0,5.0,4.0,Penthouse,Miami
"Residential complexes in Miami, Miami-Dade",17122200,473.0,4.0,4.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",16613200,671.0,4.0,4.0,Villa,Miami
"Villa in Miami, Miami-Dade",16474400,2583.0,11.0,10.0,Villa,Miami
"Residential complexes in Miami, Miami-Dade",16474400,780.0,6.0,5.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",16196700,210.0,4.0,5.0,Villa,Miami
"Penthouse in Miami, Miami-Dade",15734000,901.0,11.0,8.0,Penthouse,Miami
"Residential complexes in Miami, Miami-Dade",15641400,691.0,3.0,3.0,Residential complexes,Miami
"Luxury home in Miami, Miami-Dade",14491800,392.0,4.0,4.0,Luxury home,Miami
"Villa in Miami, Miami-Dade",14577000,221.0,2.0,3.0,Villa,Miami
"Villa in Miami, Miami-Dade",14345700,525.0,4.0,4.0,Villa,Miami
